cp,asentamiento,municipio
90414,La Joya,Atlangatepec
90414,Las Tinajas (La Tepozanera),Atlangatepec
90414,El Potrero,Atlangatepec
90414,El Encino,Atlangatepec
90415,San Pedro Ecatepec,Atlangatepec
90415,Jericó,Atlangatepec
90415,La Herradura,Atlangatepec
90415,Tenopala,Atlangatepec
90415,Sabino Grande (El Carmen),Atlangatepec
90415,San José de Santa Rosa Zacapexco,Atlangatepec
90415,San Marcos,Atlangatepec
90415,Santa Elena,Atlangatepec
90415,Santa María Tepetzala,Atlangatepec
90415,Villa de las Flores,Atlangatepec
90415,Vista Hermosa,Atlangatepec
90415,Xuxtepec,Atlangatepec
90415,El Alemán,Atlangatepec
90415,El Ocotal,Atlangatepec
90415,El Recuerdo,Atlangatepec
90415,San Antonio Tepetzala,Atlangatepec
90415,La Cañada,Atlangatepec
90416,Xalnene,Atlangatepec
90416,Los Patos,Atlangatepec
90416,Unidad Habitacional I,Atlangatepec
90416,Centro Vacacional Villa Quinta Olivares,Atlangatepec
90416,La Trasquila,Atlangatepec
90416,La Cañada,Atlangatepec
90417,Fracción San Pedro Ecatepec,Atlangatepec
90418,Benito Juárez (Tezoyo),Atlangatepec
90418,Loma Bonita,Atlangatepec
90420,Muñoz,Muñoz de Domingo Arenas
90420,Los Álamos,Muñoz de Domingo Arenas
90421,Guadalupe Estación,Muñoz de Domingo Arenas
90421,San José Cuamantzingo,Muñoz de Domingo Arenas
90421,San Bartolo Cuamantzingo,Muñoz de Domingo Arenas
90423,La Bodega,Muñoz de Domingo Arenas
90423,Cuatro Caballos,Muñoz de Domingo Arenas
90423,Los Rodríguez,Muñoz de Domingo Arenas
90425,San Isidro Chipila,Muñoz de Domingo Arenas
90425,De Zacatepec,Muñoz de Domingo Arenas
90427,Guadalupe Cuauhtémoc,Muñoz de Domingo Arenas
90427,Muñoz,Muñoz de Domingo Arenas
90427,Ex-hacienda de Guadalupe,Muñoz de Domingo Arenas
90430,2da. San Bartolomé Matlalohcan,Tetla de la Solidaridad
90430,Prados Residencial,Tetla de la Solidaridad
90430,Antorcha Revolucionaria INFONAVIT Tetla,Tetla de la Solidaridad
90430,1ra. San Bartolomé Matlalohcan,Tetla de la Solidaridad
90430,Teotlalpan,Tetla de la Solidaridad
90430,Los Robles,Tetla de la Solidaridad
90430,La Cañada,Tetla de la Solidaridad
90430,Jardines de San Bartolo,Tetla de la Solidaridad
90430,Metenco,Tetla de la Solidaridad
90430,4ta. San Bartolomé Matlalohcan,Tetla de la Solidaridad
90430,3ra. San Bartolomé Matlalohcan,Tetla de la Solidaridad
90430,Actipac,Tetla de la Solidaridad
90430,Cuatepec,Tetla de la Solidaridad
90430,Villa Celeste,Tetla de la Solidaridad
90430,El Pedregal,Tetla de la Solidaridad
90430,Villa de las Flores,Tetla de la Solidaridad
90430,Vista de Sol,Tetla de la Solidaridad
90430,América del Sur,Tetla de la Solidaridad
90430,Las Arboledas,Tetla de la Solidaridad
90430,Los Sabinales,Tetla de la Solidaridad
90430,Paseos de Tetla,Tetla de la Solidaridad
90430,Alberto Juárez Blancas,Tetla de la Solidaridad
90430,Villas de Tetla,Tetla de la Solidaridad
90430,Ocotitla,Tetla de la Solidaridad
90430,Las Cabañas,Tetla de la Solidaridad
90432,1ra. Manzana San Francisco Atezcatzinco,Tetla de la Solidaridad
90432,Paseos de Xolalpa,Tetla de la Solidaridad
90432,San Francisco Atexcatzinco 3ra. Manzana,Tetla de la Solidaridad
90432,4ta. Manzana San Francisco Atexcatzinco,Tetla de la Solidaridad
90432,San Francisco Atexcatzinco 2da. Manzana,Tetla de la Solidaridad
90432,Anastacio Lemus,Tetla de la Solidaridad
90432,La Loma,Tetla de la Solidaridad
90432,Alejandro López Ávila (Los Temontones),Tetla de la Solidaridad
90432,Santa Margarita,Tetla de la Solidaridad
90433,Chautzingo,Tetla de la Solidaridad
90433,Los Dolores,Tetla de la Solidaridad
90433,De Apizaquito,Tetla de la Solidaridad
90433,San Juan,Tetla de la Solidaridad
90434,José María Morelos y Pavón,Tetla de la Solidaridad
90434,Ciudad Industrial Xicohténcatl,Tetla de la Solidaridad
90434,Campo David,Tetla de la Solidaridad
90434,El Ocote,Tetla de la Solidaridad
90434,Felipe Gutiérrez,Tetla de la Solidaridad
90434,Ricardo Flores Magón,Tetla de la Solidaridad
90434,La Caridad,Tetla de la Solidaridad
90434,San Miguel,Tetla de la Solidaridad
90434,De Gómez,Tetla de la Solidaridad
90434,Las Arenas,Tetla de la Solidaridad
90435,Capulac,Tetla de la Solidaridad
90435,San Gregorio,Tetla de la Solidaridad
90435,La Divina Providencia,Tetla de la Solidaridad
90435,Santa Fe la Troje,Tetla de la Solidaridad
90435,Guillermo Macías,Tetla de la Solidaridad
90435,El Pozo,Tetla de la Solidaridad
90435,El Prado,Tetla de la Solidaridad
90435,Fracción el Derramadero,Tetla de la Solidaridad
90436,NCPE San Francisco Tepeyanco,Tetla de la Solidaridad
90436,Juan Lima Olivares,Tetla de la Solidaridad
90437,San José Piedras Negras,Tetla de la Solidaridad
90437,San Isidro Piedras Negras,Tetla de la Solidaridad
90438,Santa Rosa Mena,Tetla de la Solidaridad
90438,San Isidro,Tetla de la Solidaridad
90438,Plan de Ayala,Tetla de la Solidaridad
90438,El Corazón,Tetla de la Solidaridad
90438,La Concepción,Tetla de la Solidaridad
90440,San Martín Xaltocan,Xaltocan
90440,San Simón Tlatlahuquitepec,Xaltocan
90440,Cuatla,Xaltocan
90440,Topilco de Juárez,Xaltocan
90440,Puerto Arturo,Xaltocan
90440,Jardines de Xaltocan,Xaltocan
90440,Atzacoalco,Xaltocan
90440,Alva,Xaltocan
90440,Tlalapechco,Xaltocan
90440,Loma Dorada,Xaltocan
90443,Santa Bárbara Acuicuizcatepec,Xaltocan
90443,Cañada de Chipila,Xaltocan
90443,Nueva Ampliación Adolfo Ruiz Cortínez,Xaltocan
90443,San José Texopa,Xaltocan
90443,Las Mesas,Xaltocan
90443,La Retama,Xaltocan
90444,La Ascensión Huitzcolotepec,Xaltocan
90445,San Lucas Tecopilco,San Lucas Tecopilco
90445,Toltecapa,San Lucas Tecopilco
90445,Cauatla,San Lucas Tecopilco
90445,Loma Bonita,San Lucas Tecopilco
90446,Las Cañadas,San Lucas Tecopilco
90446,El Llano,San Lucas Tecopilco
90448,San José Rosastitla,San Lucas Tecopilco
90448,Tlaxcantitla,San Lucas Tecopilco
90450,La Noria,Yauhquemehcan
90450,San Dionisio Yauhquemehcan,Yauhquemehcan
90450,San Francisco Tlacuilohcan,Yauhquemehcan
90450,San Lorenzo Tlacualoyan,Yauhquemehcan
90450,Santa Úrsula Zimatepec,Yauhquemehcan
90450,La Noria II,Yauhquemehcan
90450,Viky,Yauhquemehcan
90450,La Corona,Yauhquemehcan
90450,Cruztitla,Yauhquemehcan
90450,Malintzi I,Yauhquemehcan
90450,El Padrino II,Yauhquemehcan
90450,El Padrino I,Yauhquemehcan
90450,La Cima de Piedra II,Yauhquemehcan
90450,Los Sauces IV,Yauhquemehcan
90450,La Esperanza,Yauhquemehcan
90450,Los Sauces I,Yauhquemehcan
90450,La Palma,Yauhquemehcan
90450,La Huerta,Yauhquemehcan
90450,La Aurora,Yauhquemehcan
90450,Xalcuentla,Yauhquemehcan
90450,La Huerta I,Yauhquemehcan
90450,Jardines de Santa Úrsula,Yauhquemehcan
90450,Los Sauces II,Yauhquemehcan
90450,Los Sauces III,Yauhquemehcan
90450,El Padrino III,Yauhquemehcan
90450,Los Sauces V,Yauhquemehcan
90450,Villa Hermosa,Yauhquemehcan
90450,El Pedregal,Yauhquemehcan
90450,Ahuaxtla,Yauhquemehcan
90450,La Cima de Piedra I,Yauhquemehcan
90450,Las Rosas 2000,Yauhquemehcan
90450,La Soledad (El Charco),Yauhquemehcan
90453,San Benito Xaltocan,Yauhquemehcan
90453,Doctores,Yauhquemehcan
90453,Villa Alta,Yauhquemehcan
90453,La Libertad,Yauhquemehcan
90453,La Joya,Yauhquemehcan
90453,Las Torres,Yauhquemehcan
90454,Arenal,Yauhquemehcan
90454,San José Tetel,Yauhquemehcan
90454,Axotecatl,Yauhquemehcan
90454,Coyotla,Yauhquemehcan
90454,Pentágono,Yauhquemehcan
90454,Paraíso,Yauhquemehcan
90454,El Mirador II,Yauhquemehcan
90454,Emilio Sánchez Piedras,Yauhquemehcan
90454,El Palmar,Yauhquemehcan
90454,Vista los Volcanes II,Yauhquemehcan
90454,Vista los Volcanes I,Yauhquemehcan
90454,Villas la Monumental,Yauhquemehcan
90454,Modulo el Mirador,Yauhquemehcan
90454,Acuario,Yauhquemehcan
90454,La Unión,Yauhquemehcan
90454,Los Patios,Yauhquemehcan
90454,Arcos Tetel I,Yauhquemehcan
90454,Arboledas,Yauhquemehcan
90454,Arcos Tetel II,Yauhquemehcan
90455,Calapa,Yauhquemehcan
90455,Jazmín,Yauhquemehcan
90455,Atencingo,Yauhquemehcan
90456,El Rosario Ocotoxco,Yauhquemehcan
90457,Magdalena Tepepa,Yauhquemehcan
90457,La Luz,Yauhquemehcan
90457,Villa Arboledas,Yauhquemehcan
90459,Santa María Atlihuetzian,Yauhquemehcan
90459,Lomas de la Misión,Yauhquemehcan
90459,Cuarta Sección,Yauhquemehcan
90459,Hualcaltzinco,Yauhquemehcan
90459,San José Tepoxtla,Yauhquemehcan
90460,Conjunto habitacional Pronavi San Cosme,Xaloztoc
90460,San Cosme Xaloztoc,Xaloztoc
90460,San Pedro Tlacotepec,Xaloztoc
90460,Guadalupe Texmolac,Xaloztoc
90460,Venustiano Carranza,Xaloztoc
90460,Tetitla,Xaloztoc
90460,Santa Martha,Xaloztoc
90460,La Sierra,Xaloztoc
90460,Santa Cruz Zacatzontetla,Xaloztoc
90460,El Jagüey Prieto,Xaloztoc
90460,Florencia Sánchez Nava,Xaloztoc
90463,José López Portillo,Xaloztoc
90465,Velazco,Xaloztoc
90465,Los Corrales,Xaloztoc
90480,Santa María Tocatlán,Tocatlán
90480,San José,Tocatlán
90482,Venustiano Carranza,Tocatlán
90484,Acocotla,Tocatlán
90490,El Divino Salvador,Tzompantepec
90490,San Salvador Tzompantepec,Tzompantepec
90490,Jean Charlot II,Tzompantepec
90490,San Pablo,Tzompantepec
90490,Los Girasoles,Tzompantepec
90490,Zauhtla,Tzompantepec
90490,Doña María,Tzompantepec
90490,San Andrés,Tzompantepec
90490,San Juan,Tzompantepec
90490,Jean Charlot I,Tzompantepec
90490,Jean Charlot III,Tzompantepec
90490,Tepozotenco,Tzompantepec
90491,San Andrés Ahuashuatepec,Tzompantepec
90491,Cuayecatl,Tzompantepec
90491,El Llano,Tzompantepec
90491,Cruztitla (Coyoeca),Tzompantepec
90491,Meyalco,Tzompantepec
90491,La Estrella,Tzompantepec
90491,Loma Dorada,Tzompantepec
90491,19 de Noviembre,Tzompantepec
90493,San Juan Quetzalcoapan,Tzompantepec
90493,Mazapa (Rancho los Juanes),Tzompantepec
90494,San Mateo Inophil,Tzompantepec
90494,La Providencia las Huertas,Tzompantepec
90494,Amoltepec,Tzompantepec
90494,Xaltianquisco,Tzompantepec
90495,1ra. Sección San José Teacalco,San José Teacalco
90495,4ta. Sección San José Teacalco,San José Teacalco
90496,5ta. Sección San José Teacalco,San José Teacalco
90496,3ra. Sección San José Teacalco,San José Teacalco
90497,2da. Sección San José Teacalco,San José Teacalco
90497,Ex-rancho San Nicolás Cuatlapanga,San José Teacalco
90497,El Encinal Dos de Mayo,San José Teacalco
90497,San Pedro Mártir,San José Teacalco
90497,Ecológica,San José Teacalco
90498,San Luis,San José Teacalco
90500,Huamantla Centro,Huamantla
90502,El Calvario,Huamantla
90502,Santa Cruz,Huamantla
90502,La Santísima,Huamantla
90502,El Encanto,Huamantla
90502,Del Dulce Nombre,Huamantla
90502,De Jesús,Huamantla
90503,San Carlos,Huamantla
90503,San Juan,Huamantla
90503,Santa Ana,Huamantla
90503,Cuamanco,Huamantla
90503,Villa de las Flores,Huamantla
90503,El Cornejal,Huamantla
90505,La Preciosa,Huamantla
90505,San Francisco Yancuitlalpan,Huamantla
90505,San José,Huamantla
90505,San Antonio,Huamantla
90505,Santa Maria Yancuitlalpan,Huamantla
90505,San Miguel,Huamantla
90505,Jardines de San Manuel,Huamantla
90506,Ignacio Zaragoza,Huamantla
90506,Nuevos Horizontes,Huamantla
90506,Emiliano Zapata,Huamantla
90506,La Estación,Huamantla
90506,Viva,Huamantla
90506,Tierra y Libertad,Huamantla
90507,San Lucas,Huamantla
90507,San Francisco,Huamantla
90507,Unión y Progreso,Huamantla
90507,San Francisquito,Huamantla
90508,La Palma,Huamantla
90508,INFONAVIT 15 de Agosto,Huamantla
90508,San Sebastián,Huamantla
90508,Santa Anita,Huamantla
90508,La Giralda,Huamantla
90508,La Cañada,Huamantla
90508,Juárez,Huamantla
90508,Los Volcanes II,Huamantla
90508,Los Volcanes,Huamantla
90508,La Esmeralda,Huamantla
90508,Arboledas,Huamantla
90508,El Jagüey,Huamantla
90508,Los Álamos,Huamantla
90509,Ciudad Industrial Xicohténcatl,Huamantla
90509,Agrícola San Martín Notario,Huamantla
90510,Los Pilares,Huamantla
90510,Ignacio Zaragoza,Huamantla
90513,Hermenegildo Galeana,Huamantla
90513,El Carmen Xalpatlahuaya,Huamantla
90513,N.C.P. San Diego Xalpatlahuaya,Huamantla
90514,Benito Juárez,Huamantla
90514,Francisco I. Madero la Mesa,Huamantla
90514,Francisco I. Madero Tecoac,Huamantla
90514,Francisco Villa Tecoac,Huamantla
90514,El Molino,Huamantla
90514,De Torres,Huamantla
90514,La Lima,Huamantla
90515,El Valle,Huamantla
90515,San José Xicohtencatl,Huamantla
90515,Ampliación Felipe Carrillo Puerto,Huamantla
90515,NCP José María Morelos,Huamantla
90520,San Francisco Tecoac,Huamantla
90520,Lázaro Cárdenas,Huamantla
90520,San Francisco Notario,Huamantla
90525,Chapultepec,Huamantla
90525,La Cruz,Huamantla
90525,Licenciado Mauro Angulo,Huamantla
90525,N.C.P. San José Teacalco,Huamantla
90526,General Francisco Villa,Huamantla
90526,San Martín Notario,Huamantla
90526,Acasillados San Martín Notario,Huamantla
90527,Cuauhtémoc,Huamantla
90530,José María Morelos,Huamantla
90530,De Jesús,Huamantla
90530,San Miguel Báez,Huamantla
90530,De la Cruz,Huamantla
90534,Mariano Matamoros,Huamantla
90534,Altamira Guadalupe,Huamantla
90540,Terrenate,Terrenate
90540,Chipilo,Terrenate
90540,Chapultepec,Terrenate
90542,La Caldera,Terrenate
90542,San José Villarreal,Terrenate
90542,El Pilancón,Terrenate
90542,El Capulín,Terrenate
90543,Nicolás Bravo,Terrenate
90543,El Capulín,Terrenate
90543,Guadalupe Victoria,Terrenate
90543,Los Ameles (Acolco),Terrenate
90544,Toluca de Guadalupe,Terrenate
90545,Lázaro Cárdenas,Lázaro Cárdenas
90545,La Mancera,Lázaro Cárdenas
90545,Maribel,Lázaro Cárdenas
90545,Atlixtaca,Lázaro Cárdenas
90546,El Palomar,Lázaro Cárdenas
90546,San José de la Laguna,Lázaro Cárdenas
90547,Emiliano Zapata,Emiliano Zapata
90547,Guadalupe,Emiliano Zapata
90547,Las Palomas,Emiliano Zapata
90547,Guardamonte,Emiliano Zapata
90547,La Venta,Emiliano Zapata
90547,Coamila,Emiliano Zapata
90547,Atotonilco,Emiliano Zapata
90547,Los Encinos,Emiliano Zapata
90547,Tipitzila,Emiliano Zapata
90548,Ahilitla,Emiliano Zapata
90548,San Nicolás,Emiliano Zapata
90548,Vista Hermosa,Emiliano Zapata
90548,Cruz Verde,Emiliano Zapata
90548,Tlaximaloya (La Amapola),Emiliano Zapata
90548,Ojo de Agua,Emiliano Zapata
90548,Gustavo Díaz Ordaz,Emiliano Zapata
90548,La Loma,Emiliano Zapata
90548,Tecoaquillo,Emiliano Zapata
90548,El Ciprés,Emiliano Zapata
90548,Tres Ríos,Emiliano Zapata
90548,El Epazote,Emiliano Zapata
90550,De la Concepción,Atltzayanca
90550,Santiago,Atltzayanca
90550,San Antonio,Atltzayanca
90550,San José Miravalle,Atltzayanca
90553,La Garita,Atltzayanca
90554,Xaltitla,Atltzayanca
90554,San José Buenavista,Atltzayanca
90554,San José Pilancón,Atltzayanca
90554,San Francisco Axopilco,Atltzayanca
90554,Carreta,Atltzayanca
90554,José Fernández,Atltzayanca
90554,Aurelio Aguilar,Atltzayanca
90554,Techachalco,Atltzayanca
90554,Xarero Xaltitla,Atltzayanca
90554,San Antonio Tecopilco,Atltzayanca
90555,Concepción Hidalgo,Atltzayanca
90555,Felipe Carrillo Puerto,Atltzayanca
90555,Lázaro Cárdenas,Atltzayanca
90555,La Rincona,Atltzayanca
90555,Blanco,Atltzayanca
90555,Mazehualpa,Atltzayanca
90555,San José Xalasco,Atltzayanca
90555,Ocotla,Atltzayanca
90556,Mesa Redonda,Atltzayanca
90556,San Juan Ocotitla,Atltzayanca
90557,Nexnopala,Atltzayanca
90557,Jesús,Atltzayanca
90557,La Higuera,Atltzayanca
90557,Nazareth,Atltzayanca
90557,San Miguel Franco,Atltzayanca
90557,Santa Martha,Atltzayanca
90557,Guadalupe,Atltzayanca
90557,Delicias,Atltzayanca
90558,Santa Cruz Pocitos,Atltzayanca
90558,Santa María las Cuevas,Atltzayanca
90558,El Piñonal (Guadalupe el Piñonal),Atltzayanca
90558,Los Ocalitos,Atltzayanca
90558,Miahuapan el Alto,Atltzayanca
90558,Miahuapan el Bajo,Atltzayanca
90558,Pocitos,Atltzayanca
90558,Loma de Junguito,Atltzayanca
90560,San Antonio,Cuapiaxtla
90560,Los Ángeles,Cuapiaxtla
90560,Alta Luz,Cuapiaxtla
90560,De Guadalupe,Cuapiaxtla
90560,San Miguel,Cuapiaxtla
90562,San Francisco Cuexcontzi,Cuapiaxtla
90562,San Francisco Cuexcomatepec,Cuapiaxtla
90563,La Soledad,Cuapiaxtla
90563,San Cristóbal del Río,Cuapiaxtla
90563,Egipto,Cuapiaxtla
90563,José María Morelos,Cuapiaxtla
90564,Granja de Guadalupe,Cuapiaxtla
90564,El Tejocote,Cuapiaxtla
90564,Mazarraza,Cuapiaxtla
90564,Del Valle,Cuapiaxtla
90564,Santa Rebeca,Cuapiaxtla
90564,Plan de Ayala,Cuapiaxtla
90565,Loma Bonita,Cuapiaxtla
90565,Santa Fe Uno,Cuapiaxtla
90565,Manuel Ávila Camacho,Cuapiaxtla
90565,Santa Beatriz la Nueva,Cuapiaxtla
90567,La Asunción Rascona,Cuapiaxtla
90568,Ignacio Allende,Cuapiaxtla
90568,Allende,Cuapiaxtla
90568,San Rafael Tepatlaxco (Unión y Progreso),Cuapiaxtla
90568,San Miguel Teometitla,Cuapiaxtla
90568,La Granja (Camino a Franco),Cuapiaxtla
90570,Villa del Carmen Tequexquitla,El Carmen Tequexquitla
90570,De Guadalupe,El Carmen Tequexquitla
90573,Mazatepec,El Carmen Tequexquitla
90575,La Soledad,El Carmen Tequexquitla
90576,Vicente Guerrero,El Carmen Tequexquitla
90577,Ocotlán Temalacayucan,El Carmen Tequexquitla
90580,San Juan Primero,Ixtenco
90580,San Gabriel Primero,Ixtenco
90580,San Gabriel Segundo,Ixtenco
90580,San Juan Segundo,Ixtenco
90583,Santiago,Ixtenco
90583,Resurrección Segundo,Ixtenco
90583,Resurrección Primero,Ixtenco
90585,San Antonio Primero,Ixtenco
90585,San Antonio Segundo,Ixtenco
90585,La Era,Ixtenco
90590,Zitlaltépec,Ziltlaltépec de Trinidad Sánchez Santos
90590,Guadalupe,Ziltlaltépec de Trinidad Sánchez Santos
90590,El Lindero,Ziltlaltépec de Trinidad Sánchez Santos
90592,San Juan Bautista Mier,Ziltlaltépec de Trinidad Sánchez Santos
90595,Guadalupe los Capulines,Ziltlaltépec de Trinidad Sánchez Santos
90596,Francisco Javier Mina,Ziltlaltépec de Trinidad Sánchez Santos
90600,Providencia,Apetatitlán de Antonio Carvajal
90600,Apetatitlán,Apetatitlán de Antonio Carvajal
90600,Petroquímica,Apetatitlán de Antonio Carvajal
90600,Tlahuicole IMSS,Apetatitlán de Antonio Carvajal
90604,La Loma,Apetatitlán de Antonio Carvajal
90605,Belén Atzitzimititlán,Apetatitlán de Antonio Carvajal
90606,San Matías Tepetomatitlán,Apetatitlán de Antonio Carvajal
90608,Tecolotla,Apetatitlán de Antonio Carvajal
90610,Tlatempan,Apetatitlán de Antonio Carvajal
90610,Jesús,Apetatitlán de Antonio Carvajal
90620,Amaxac de Guerrero,Amaxac de Guerrero
90623,Tercera Sección,Amaxac de Guerrero
90624,Primera Sección,Amaxac de Guerrero
90635,San Damián Tlacocalpan,Amaxac de Guerrero
90635,La Preciosa,Amaxac de Guerrero
90640,Punta Real,Santa Cruz Tlaxcala
90640,Guadalupe Tlachco,Santa Cruz Tlaxcala
90640,San Lucas Tlacochcalco,Santa Cruz Tlaxcala
90640,San Miguel Contla,Santa Cruz Tlaxcala
90640,Santa Cruz Tlaxcala,Santa Cruz Tlaxcala
90640,Ex-Hacienda San Manuel,Santa Cruz Tlaxcala
90640,Los Vecinos (Llano Viejo),Santa Cruz Tlaxcala
90640,El Arcángel,Santa Cruz Tlaxcala
90640,Villas de San Miguel II,Santa Cruz Tlaxcala
90643,Tepetlacinco,Santa Cruz Tlaxcala
90644,El Progreso,Santa Cruz Tlaxcala
90644,Tetzotzocola,Santa Cruz Tlaxcala
90644,El Alto,Santa Cruz Tlaxcala
90644,Analco,Santa Cruz Tlaxcala
90644,Ixaquixtla,Santa Cruz Tlaxcala
90645,Centro Vacacional la Trinidad,Santa Cruz Tlaxcala
90646,Potrero Viejo,Santa Cruz Tlaxcala
90650,Jesús Huitznáhuac,Santa Cruz Tlaxcala
90653,Xamistla,Santa Cruz Tlaxcala
90660,San Miguel Buenavista,Cuaxomulco
90660,San Antonio,Cuaxomulco
90660,San Lorenzo Xaltelulco,Cuaxomulco
90660,Tepechapa,Cuaxomulco
90660,Zacamolpa,Cuaxomulco
90660,Primera Sección Atenco,Cuaxomulco
90660,Segunda Sección Tecuicuilco,Cuaxomulco
90660,Centro,Cuaxomulco
90660,Coxtla,Cuaxomulco
90660,Tecola,Cuaxomulco
90670,San Bernardino Contla Centro,Contla de Juan Cuamatzi
90670,Colhuaca,Contla de Juan Cuamatzi
90670,Netzahuala,Contla de Juan Cuamatzi
90670,Zencalco,Contla de Juan Cuamatzi
90670,Villa Chica,Contla de Juan Cuamatzi
90670,San Antonio,Contla de Juan Cuamatzi
90670,Xopantla,Contla de Juan Cuamatzi
90670,La Conchita,Contla de Juan Cuamatzi
90676,Santa María Tlacatecpa,Contla de Juan Cuamatzi
90680,San Miguel Xaltipa,Contla de Juan Cuamatzi
90690,San Felipe Cuauhtenco,Contla de Juan Cuamatzi
90690,La Luz,Contla de Juan Cuamatzi
90692,San José Aztatla,Contla de Juan Cuamatzi
90692,Ocotlán de Tepatlaxco,Contla de Juan Cuamatzi
90693,Santa María Aquiáhuac,Contla de Juan Cuamatzi
90693,Ixtlahuaca,Contla de Juan Cuamatzi
90700,San Mateo Ayecac,Tepetitla de Lardizábal
90700,Tepetitla,Tepetitla de Lardizábal
90700,Villa Alta,Tepetitla de Lardizábal
90700,Residencial las Palomas,Tepetitla de Lardizábal
90700,Atalaya,Tepetitla de Lardizábal
90700,Guadalupe Victoria,Tepetitla de Lardizábal
90710,La Concordia,Nativitas
90710,Nativitas,Nativitas
90710,San Miguel Tlale,Nativitas
90710,San Juan Tepactepec,Nativitas
90712,San Bernabé Capula,Nativitas
90712,San Miguel del Milagro,Nativitas
90712,San Miguel Xochitecatitla,Nativitas
90713,Jesús Tepactepec,Nativitas
90715,Guadalupe Victoria,Nativitas
90716,San Vicente Xiloxochitla,Nativitas
90716,San Francisco Tenexyecac,Nativitas
90716,Emiliano Zapata,Nativitas
90716,Santa Cruz,Nativitas
90717,San José Atoyatenco,Nativitas
90717,Matamoros,Nativitas
90717,El Rosario,Nativitas
90718,San Rafael Tenanyecac,Nativitas
90718,Colecturía,Nativitas
90718,Zanja Real,Nativitas
90721,Santiago Michac,Nativitas
90721,Santa Elena,Nativitas
90721,Segura Michac,Nativitas
90721,La Remolacha,Nativitas
90721,Loma Verde,Nativitas
90721,NCP Santa Elena Teacalco,Nativitas
90721,San Antonio,Nativitas
90721,San Antonio Teacalco,Nativitas
90722,San Miguel Analco,Nativitas
90722,Santa Clara Atoyac,Nativitas
90725,Santa Apolonia Teacalco Centro,Santa Apolonia Teacalco
90725,El Ranchito,Santa Apolonia Teacalco
90725,El Carril,Santa Apolonia Teacalco
90730,Santa Isabel Tetlatlahuca,Tetlatlahuca
90730,Santa Cruz Aquiahuac,Tetlatlahuca
90730,Atenco,Tetlatlahuca
90733,Val Quirico,Tetlatlahuca
90733,Equiah Villa Sustentable,Tetlatlahuca
90733,Santa Ana Portales,Tetlatlahuca
90733,Santa Águeda,Tetlatlahuca
90734,San Bartolomé Tenango,Tetlatlahuca
90734,San Andrés Cuamilpa,Tetlatlahuca
90734,Santa Cruz Capulinares,Tetlatlahuca
90735,El Alto,San Damián Texóloc
90736,Monterrey,San Damián Texóloc
90736,Zavaleta,San Damián Texóloc
90736,La Cueva,San Damián Texóloc
90737,Luis Echeverría,San Damián Texóloc
90738,San Jerónimo Zacualpan,San Jerónimo Zacualpan
90740,Sección Segunda,Zacatelco
90740,Sección Primera,Zacatelco
90740,La Libertad,Zacatelco
90740,Alberto Juárez Blancas,Zacatelco
90740,Las Palomas,Zacatelco
90750,Sección Tercera Gurdia,Zacatelco
90750,Sección Cuarta,Zacatelco
90750,Sección Quinta,Zacatelco
90750,Exquitla,Zacatelco
90750,Xochicalco,Zacatelco
90750,CROM Santa Inés,Zacatelco
90750,Girasoles,Zacatelco
90750,Guardia,Zacatelco
90750,Las Américas,Zacatelco
90750,Privansa,Zacatelco
90754,Domingo Arenas,Zacatelco
90760,San Lorenzo Axocomanitla,San Lorenzo Axocomanitla
90770,Santa Catarina Ayometla,Santa Catarina Ayometla
90773,Estocapa,Santa Catarina Ayometla
90774,Tlapayatla,Santa Catarina Ayometla
90775,Tlaxcaltecatla,Santa Catarina Ayometla
90780,Xicohtzingo,Xicohtzinco
90780,Santa Filomena,Xicohtzinco
90780,San Isidro,Xicohtzinco
90780,Guadalupe,Xicohtzinco
90780,El Rancho,Xicohtzinco
90780,El Llano,Xicohtzinco
90780,Capulín,Xicohtzinco
90780,El Cerrito,Xicohtzinco
90780,Chalma,Xicohtzinco
90780,Techaloya,Xicohtzinco
90780,El Llano 2,Xicohtzinco
90780,El Llano 1,Xicohtzinco
90790,San Francisco Papalotla Centro,Papalotla de Xicohténcatl
90790,Xilotzingo,Papalotla de Xicohténcatl
90790,Xolalpa,Papalotla de Xicohténcatl
90790,Xaltipa,Papalotla de Xicohténcatl
90790,El Carmen,Papalotla de Xicohténcatl
90790,La Trinidad,Papalotla de Xicohténcatl
90790,Los Reyes,Papalotla de Xicohténcatl
90790,Tenantitla,Papalotla de Xicohténcatl
90791,San Marcos Contla,Papalotla de Xicohténcatl
90794,Zacatecoma,Papalotla de Xicohténcatl
90796,Panzacola,Papalotla de Xicohténcatl
90796,San Juan Bosco,Papalotla de Xicohténcatl
90796,San Buenaventura,Papalotla de Xicohténcatl
90796,La Ciénega,Papalotla de Xicohténcatl
90800,Santa Ana Chiautempan Centro,Chiautempan
90800,Xaltantla,Chiautempan
90800,Lucero,Chiautempan
90802,Buenos Aires,Chiautempan
90802,Industrial,Chiautempan
90802,Los Pinos,Chiautempan
90802,Puente Picazo,Chiautempan
90802,Ximentla,Chiautempan
90802,Santa Cruz,Chiautempan
90802,San Onofre,Chiautempan
90802,Santa Cruz Tetela,Chiautempan
90802,Llanos de Tepetlapa,Chiautempan
90802,La Magdalena,Chiautempan
90803,Tlapacoyac,Chiautempan
90803,Villa de las Flores,Chiautempan
